id,English,Hindi,Kannada,Tamil,Bengali,Assamese
253,Wear protective gear when riding bikes on crowded trains,[Hindi translation needed: Wear protective gear when riding bikes on crowded trains],[Kannada translation needed: Wear protective gear when riding bikes on crowded trains],[Tamil translation needed: Wear protective gear when riding bikes on crowded trains],[Bengali translation needed: Wear protective gear when riding bikes on crowded trains],[Assamese translation needed: Wear protective gear when riding bikes on crowded trains]
254,Keep emergency contacts saved before entering city streets,[Hindi translation needed: Keep emergency contacts saved before entering city streets],[Kannada translation needed: Keep emergency contacts saved before entering city streets],[Tamil translation needed: Keep emergency contacts saved before entering city streets],[Bengali translation needed: Keep emergency contacts saved before entering city streets],[Assamese translation needed: Keep emergency contacts saved before entering city streets]
255,Check weather alerts before traveling to heritage sites,[Hindi translation needed: Check weather alerts before traveling to heritage sites],[Kannada translation needed: Check weather alerts before traveling to heritage sites],[Tamil translation needed: Check weather alerts before traveling to heritage sites],[Bengali translation needed: Check weather alerts before traveling to heritage sites],[Assamese translation needed: Check weather alerts before traveling to heritage sites]
256,Use only registered guides in national parks,[Hindi translation needed: Use only registered guides in national parks],[Kannada translation needed: Use only registered guides in national parks],[Tamil translation needed: Use only registered guides in national parks],[Bengali translation needed: Use only registered guides in national parks],[Assamese translation needed: Use only registered guides in national parks]
257,Stay on marked paths while visiting heritage sites,[Hindi translation needed: Stay on marked paths while visiting heritage sites],[Kannada translation needed: Stay on marked paths while visiting heritage sites],[Tamil translation needed: Stay on marked paths while visiting heritage sites],[Bengali translation needed: Stay on marked paths while visiting heritage sites],[Assamese translation needed: Stay on marked paths while visiting heritage sites]
258,Respect wildlife and keep 13 meters away in remote villages,[Hindi translation needed: Respect wildlife and keep 13 meters away in remote villages],[Kannada translation needed: Respect wildlife and keep 13 meters away in remote villages],[Tamil translation needed: Respect wildlife and keep 13 meters away in remote villages],[Bengali translation needed: Respect wildlife and keep 13 meters away in remote villages],[Assamese translation needed: Respect wildlife and keep 13 meters away in remote villages]
259,Dispose of trash properly to protect beach resorts,[Hindi translation needed: Dispose of trash properly to protect beach resorts],[Kannada translation needed: Dispose of trash properly to protect beach resorts],[Tamil translation needed: Dispose of trash properly to protect beach resorts],[Bengali translation needed: Dispose of trash properly to protect beach resorts],[Assamese translation needed: Dispose of trash properly to protect beach resorts]
260,Carry at least 2 liters of water when hiking in busy markets,[Hindi translation needed: Carry at least 2 liters of water when hiking in busy markets],[Kannada translation needed: Carry at least 2 liters of water when hiking in busy markets],[Tamil translation needed: Carry at least 2 liters of water when hiking in busy markets],[Bengali translation needed: Carry at least 2 liters of water when hiking in busy markets],[Assamese translation needed: Carry at least 2 liters of water when hiking in busy markets]
261,Inform a friend before exploring mountain paths alone,[Hindi translation needed: Inform a friend before exploring mountain paths alone],[Kannada translation needed: Inform a friend before exploring mountain paths alone],[Tamil translation needed: Inform a friend before exploring mountain paths alone],[Bengali translation needed: Inform a friend before exploring mountain paths alone],[Assamese translation needed: Inform a friend before exploring mountain paths alone]
262,Avoid flashing valuables in crowded trains to prevent theft,[Hindi translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Kannada translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Tamil translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Bengali translation needed: Avoid flashing valuables in crowded trains to prevent theft],[Assamese translation needed: Avoid flashing valuables in crowded trains to prevent theft]
263,Wear protective gear when riding bikes on river ferries,[Hindi translation needed: Wear protective gear when riding bikes on river ferries],[Kannada translation needed: Wear protective gear when riding bikes on river ferries],[Tamil translation needed: Wear protective gear when riding bikes on river ferries],[Bengali translation needed: Wear protective gear when riding bikes on river ferries],[Assamese translation needed: Wear protective gear when riding bikes on river ferries]
264,Keep emergency contacts saved before entering city streets,[Hindi translation needed: Keep emergency contacts saved before entering city streets],[Kannada translation needed: Keep emergency contacts saved before entering city streets],[Tamil translation needed: Keep emergency contacts saved before entering city streets],[Bengali translation needed: Keep emergency contacts saved before entering city streets],[Assamese translation needed: Keep emergency contacts saved before entering city streets]
265,Check weather alerts before traveling to national parks,[Hindi translation needed: Check weather alerts before traveling to national parks],[Kannada translation needed: Check weather alerts before traveling to national parks],[Tamil translation needed: Check weather alerts before traveling to national parks],[Bengali translation needed: Check weather alerts before traveling to national parks],[Assamese translation needed: Check weather alerts before traveling to national parks]
266,Use only registered guides in city streets,[Hindi translation needed: Use only registered guides in city streets],[Kannada translation needed: Use only registered guides in city streets],[Tamil translation needed: Use only registered guides in city streets],[Bengali translation needed: Use only registered guides in city streets],[Assamese translation needed: Use only registered guides in city streets]
267,Stay on marked paths while visiting busy markets,[Hindi translation needed: Stay on marked paths while visiting busy markets],[Kannada translation needed: Stay on marked paths while visiting busy markets],[Tamil translation needed: Stay on marked paths while visiting busy markets],[Bengali translation needed: Stay on marked paths while visiting busy markets],[Assamese translation needed: Stay on marked paths while visiting busy markets]
268,Respect wildlife and keep 13 meters away in remote villages,[Hindi translation needed: Respect wildlife and keep 13 meters away in remote villages],[Kannada translation needed: Respect wildlife and keep 13 meters away in remote villages],[Tamil translation needed: Respect wildlife and keep 13 meters away in remote villages],[Bengali translation needed: Respect wildlife and keep 13 meters away in remote villages],[Assamese translation needed: Respect wildlife and keep 13 meters away in remote villages]
269,Dispose of trash properly to protect remote villages,[Hindi translation needed: Dispose of trash properly to protect remote villages],[Kannada translation needed: Dispose of trash properly to protect remote villages],[Tamil translation needed: Dispose of trash properly to protect remote villages],[Bengali translation needed: Dispose of trash properly to protect remote villages],[Assamese translation needed: Dispose of trash properly to protect remote villages]
270,Carry at least 4 liters of water when hiking in river ferries,[Hindi translation needed: Carry at least 4 liters of water when hiking in river ferries],[Kannada translation needed: Carry at least 4 liters of water when hiking in river ferries],[Tamil translation needed: Carry at least 4 liters of water when hiking in river ferries],[Bengali translation needed: Carry at least 4 liters of water when hiking in river ferries],[Assamese translation needed: Carry at least 4 liters of water when hiking in river ferries]
271,Inform a friend before exploring beach resorts alone,[Hindi translation needed: Inform a friend before exploring beach resorts alone],[Kannada translation needed: Inform a friend before exploring beach resorts alone],[Tamil translation needed: Inform a friend before exploring beach resorts alone],[Bengali translation needed: Inform a friend before exploring beach resorts alone],[Assamese translation needed: Inform a friend before exploring beach resorts alone]
272,Avoid flashing valuables in desert trails to prevent theft,[Hindi translation needed: Avoid flashing valuables in desert trails to prevent theft],[Kannada translation needed: Avoid flashing valuables in desert trails to prevent theft],[Tamil translation needed: Avoid flashing valuables in desert trails to prevent theft],[Bengali translation needed: Avoid flashing valuables in desert trails to prevent theft],[Assamese translation needed: Avoid flashing valuables in desert trails to prevent theft]
273,Wear protective gear when riding bikes on remote villages,[Hindi translation needed: Wear protective gear when riding bikes on remote villages],[Kannada translation needed: Wear protective gear when riding bikes on remote villages],[Tamil translation needed: Wear protective gear when riding bikes on remote villages],[Bengali translation needed: Wear protective gear when riding bikes on remote villages],[Assamese translation needed: Wear protective gear when riding bikes on remote villages]
274,Keep emergency contacts saved before entering river ferries,[Hindi translation needed: Keep emergency contacts saved before entering river ferries],[Kannada translation needed: Keep emergency contacts saved before entering river ferries],[Tamil translation needed: Keep emergency contacts saved before entering river ferries],[Bengali translation needed: Keep emergency contacts saved before entering river ferries],[Assamese translation needed: Keep emergency contacts saved before entering river ferries]
275,Check weather alerts before traveling to beach resorts,[Hindi translation needed: Check weather alerts before traveling to beach resorts],[Kannada translation needed: Check weather alerts before traveling to beach resorts],[Tamil translation needed: Check weather alerts before traveling to beach resorts],[Bengali translation needed: Check weather alerts before traveling to beach resorts],[Assamese translation needed: Check weather alerts before traveling to beach resorts]
276,Use only registered guides in busy markets,[Hindi translation needed: Use only registered guides in busy markets],[Kannada translation needed: Use only registered guides in busy markets],[Tamil translation needed: Use only registered guides in busy markets],[Bengali translation needed: Use only registered guides in busy markets],[Assamese translation needed: Use only registered guides in busy markets]
277,Stay on marked paths while visiting crowded trains,[Hindi translation needed: Stay on marked paths while visiting crowded trains],[Kannada translation needed: Stay on marked paths while visiting crowded trains],[Tamil translation needed: Stay on marked paths while visiting crowded trains],[Bengali translation needed: Stay on marked paths while visiting crowded trains],[Assamese translation needed: Stay on marked paths while visiting crowded trains]
278,Respect wildlife and keep 13 meters away in busy markets,[Hindi translation needed: Respect wildlife and keep 13 meters away in busy markets],[Kannada translation needed: Respect wildlife and keep 13 meters away in busy markets],[Tamil translation needed: Respect wildlife and keep 13 meters away in busy markets],[Bengali translation needed: Respect wildlife and keep 13 meters away in busy markets],[Assamese translation needed: Respect wildlife and keep 13 meters away in busy markets]
279,Dispose of trash properly to protect river ferries,[Hindi translation needed: Dispose of trash properly to protect river ferries],[Kannada translation needed: Dispose of trash properly to protect river ferries],[Tamil translation needed: Dispose of trash properly to protect river ferries],[Bengali translation needed: Dispose of trash properly to protect river ferries],[Assamese translation needed: Dispose of trash properly to protect river ferries]
280,Carry at least 2 liters of water when hiking in crowded trains,[Hindi translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Kannada translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Tamil translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Bengali translation needed: Carry at least 2 liters of water when hiking in crowded trains],[Assamese translation needed: Carry at least 2 liters of water when hiking in crowded trains]
281,Inform a friend before exploring river ferries alone,[Hindi translation needed: Inform a friend before exploring river ferries alone],[Kannada translation needed: Inform a friend before exploring river ferries alone],[Tamil translation needed: Inform a friend before exploring river ferries alone],[Bengali translation needed: Inform a friend before exploring river ferries alone],[Assamese translation needed: Inform a friend before exploring river ferries alone]
282,Avoid flashing valuables in busy markets to prevent theft,[Hindi translation needed: Avoid flashing valuables in busy markets to prevent theft],[Kannada translation needed: Avoid flashing valuables in busy markets to prevent theft],[Tamil translation needed: Avoid flashing valuables in busy markets to prevent theft],[Bengali translation needed: Avoid flashing valuables in busy markets to prevent theft],[Assamese translation needed: Avoid flashing valuables in busy markets to prevent theft]
283,Wear protective gear when riding bikes on heritage sites,[Hindi translation needed: Wear protective gear when riding bikes on heritage sites],[Kannada translation needed: Wear protective gear when riding bikes on heritage sites],[Tamil translation needed: Wear protective gear when riding bikes on heritage sites],[Bengali translation needed: Wear protective gear when riding bikes on heritage sites],[Assamese translation needed: Wear protective gear when riding bikes on heritage sites]
284,Keep emergency contacts saved before entering heritage sites,[Hindi translation needed: Keep emergency contacts saved before entering heritage sites],[Kannada translation needed: Keep emergency contacts saved before entering heritage sites],[Tamil translation needed: Keep emergency contacts saved before entering heritage sites],[Bengali translation needed: Keep emergency contacts saved before entering heritage sites],[Assamese translation needed: Keep emergency contacts saved before entering heritage sites]
285,Check weather alerts before traveling to busy markets,[Hindi translation needed: Check weather alerts before traveling to busy markets],[Kannada translation needed: Check weather alerts before traveling to busy markets],[Tamil translation needed: Check weather alerts before traveling to busy markets],[Bengali translation needed: Check weather alerts before traveling to busy markets],[Assamese translation needed: Check weather alerts before traveling to busy markets]
286,Use only registered guides in city streets,[Hindi translation needed: Use only registered guides in city streets],[Kannada translation needed: Use only registered guides in city streets],[Tamil translation needed: Use only registered guides in city streets],[Bengali translation needed: Use only registered guides in city streets],[Assamese translation needed: Use only registered guides in city streets]
287,Stay on marked paths while visiting city streets,[Hindi translation needed: Stay on marked paths while visiting city streets],[Kannada translation needed: Stay on marked paths while visiting city streets],[Tamil translation needed: Stay on marked paths while visiting city streets],[Bengali translation needed: Stay on marked paths while visiting city streets],[Assamese translation needed: Stay on marked paths while visiting city streets]
288,Respect wildlife and keep 13 meters away in remote villages,[Hindi translation needed: Respect wildlife and keep 13 meters away in remote villages],[Kannada translation needed: Respect wildlife and keep 13 meters away in remote villages],[Tamil translation needed: Respect wildlife and keep 13 meters away in remote villages],[Bengali translation needed: Respect wildlife and keep 13 meters away in remote villages],[Assamese translation needed: Respect wildlife and keep 13 meters away in remote villages]
289,Dispose of trash properly to protect remote villages,[Hindi translation needed: Dispose of trash properly to protect remote villages],[Kannada translation needed: Dispose of trash properly to protect remote villages],[Tamil translation needed: Dispose of trash properly to protect remote villages],[Bengali translation needed: Dispose of trash properly to protect remote villages],[Assamese translation needed: Dispose of trash properly to protect remote villages]
290,Carry at least 4 liters of water when hiking in crowded trains,[Hindi translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Kannada translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Tamil translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Bengali translation needed: Carry at least 4 liters of water when hiking in crowded trains],[Assamese translation needed: Carry at least 4 liters of water when hiking in crowded trains]
291,Inform a friend before exploring crowded trains alone,[Hindi translation needed: Inform a friend before exploring crowded trains alone],[Kannada translation needed: Inform a friend before exploring crowded trains alone],[Tamil translation needed: Inform a friend before exploring crowded trains alone],[Bengali translation needed: Inform a friend before exploring crowded trains alone],[Assamese translation needed: Inform a friend before exploring crowded trains alone]
292,Avoid flashing valuables in heritage sites to prevent theft,[Hindi translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Kannada translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Tamil translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Bengali translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Assamese translation needed: Avoid flashing valuables in heritage sites to prevent theft]
293,Wear protective gear when riding bikes on city streets,[Hindi translation needed: Wear protective gear when riding bikes on city streets],[Kannada translation needed: Wear protective gear when riding bikes on city streets],[Tamil translation needed: Wear protective gear when riding bikes on city streets],[Bengali translation needed: Wear protective gear when riding bikes on city streets],[Assamese translation needed: Wear protective gear when riding bikes on city streets]
294,Keep emergency contacts saved before entering beach resorts,[Hindi translation needed: Keep emergency contacts saved before entering beach resorts],[Kannada translation needed: Keep emergency contacts saved before entering beach resorts],[Tamil translation needed: Keep emergency contacts saved before entering beach resorts],[Bengali translation needed: Keep emergency contacts saved before entering beach resorts],[Assamese translation needed: Keep emergency contacts saved before entering beach resorts]
295,Check weather alerts before traveling to busy markets,[Hindi translation needed: Check weather alerts before traveling to busy markets],[Kannada translation needed: Check weather alerts before traveling to busy markets],[Tamil translation needed: Check weather alerts before traveling to busy markets],[Bengali translation needed: Check weather alerts before traveling to busy markets],[Assamese translation needed: Check weather alerts before traveling to busy markets]
296,Use only registered guides in beach resorts,[Hindi translation needed: Use only registered guides in beach resorts],[Kannada translation needed: Use only registered guides in beach resorts],[Tamil translation needed: Use only registered guides in beach resorts],[Bengali translation needed: Use only registered guides in beach resorts],[Assamese translation needed: Use only registered guides in beach resorts]
297,Stay on marked paths while visiting crowded trains,[Hindi translation needed: Stay on marked paths while visiting crowded trains],[Kannada translation needed: Stay on marked paths while visiting crowded trains],[Tamil translation needed: Stay on marked paths while visiting crowded trains],[Bengali translation needed: Stay on marked paths while visiting crowded trains],[Assamese translation needed: Stay on marked paths while visiting crowded trains]
298,Respect wildlife and keep 13 meters away in beach resorts,[Hindi translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Kannada translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Tamil translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Bengali translation needed: Respect wildlife and keep 13 meters away in beach resorts],[Assamese translation needed: Respect wildlife and keep 13 meters away in beach resorts]
299,Dispose of trash properly to protect river ferries,[Hindi translation needed: Dispose of trash properly to protect river ferries],[Kannada translation needed: Dispose of trash properly to protect river ferries],[Tamil translation needed: Dispose of trash properly to protect river ferries],[Bengali translation needed: Dispose of trash properly to protect river ferries],[Assamese translation needed: Dispose of trash properly to protect river ferries]
300,Carry at least 2 liters of water when hiking in mountain paths,[Hindi translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Kannada translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Tamil translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Bengali translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Assamese translation needed: Carry at least 2 liters of water when hiking in mountain paths]
